c0,c1,org,category,name,city,address,zip,link,linkType
-78.8980928,35.9933185,Old Havana Sandwich Shop,Food and drink,Old Havana Sandwich Shop,Durham,310 E Main St,27701,,
-78.90222,35.996644,The Parlour,Food and drink,The Parlour,Durham,117 Market St,27701,,
-78.9199814,36.0086343,American Dance Festival,Arts and entertainment,American Dance Festival,Durham,715 Broad St,27705,,
-78.8962889,35.972982,North Carolina Central University,Education,North Carolina Central University,Durham,,,,
-78.9044638,35.993246,McKinney,Professional service,McKinney,Durham,318 Blackwell St,27701,,
-78.9189648,36.015767,Joe Van Gogh Broad Street,Food and drink,Joe Van Gogh Broad Street,Durham,1104 Broad St,27705,,
-78.897839,36.000278,LGBTQ Center of Durham,Community organization,LGBTQ Center of Durham,Durham,114 Hunt St,27701,,
-79.5043469,36.1048739,Elon University,Education,Elon University,Elon,100 Campus Drive,27244,,
-82.4482806,35.546103,Mountain Mojo,Food and drink,Mountain Mojo,Fairview,381 Old Charlotte Hwy,28730,,
-78.9498038,35.0856666,Fort Video & News,Shopping,Fort Video & News,Fayetteville,4431 Bragg Blvd,28303,,
-83.3811156,35.181255,Goshen Timber Frames,Professional service,Goshen Timber Frames,Franklin,37 Phillips St,28734,,
-79.790381,36.0687771,Green Bean,Food and drink,Green Bean,Greensboro,341 S Elm St,27401,https://www.instagram.com/p/BDYe7tOB_gM/?taken-by=deconstructinggender,instagram
-79.8133482,36.0921063,1618 Wine Lounge,Food and drink,1618 Wine Lounge,Greensboro,1724 Battleground Ave,27408,https://www.facebook.com/guilfordgreenfoundation/photos/a.240175426019577.51795.210257812344672/1027688303934948/?type=3&theater,facebook
-79.8157336,36.0955455,Geeksboro Coffeehouse Cinema,Arts and entertainment,Geeksboro Coffeehouse Cinema,Greensboro,2134 Lawndale Dr,27408,https://www.facebook.com/Geeksboro/photos/a.300798066684194.64323.300795156684485/902659139831414/?type=3&theater,facebook
-79.7841677,36.0704284,Interactive Resource Center,Community organization,Interactive Resource Center,Greensboro,407 E Washington St,27401,https://www.facebook.com/gsodaycenter/photos/a.394134033847.171009.103218153847/10153485701388848/?type=3&theater,facebook
-79.816646,36.0967849,Shelf Life Art + Supply Co.,Shopping,Shelf Life Art + Supply Co.,Greensboro,2178 Lawndale Dr,27408,https://www.facebook.com/ShelfLifeArt/posts/531466503693228,facebook
-79.819587,36.0933978,TLC Counseling,Health and wellness,TLC Counseling,Greensboro,1821 Lendew St,27408,,
-79.7907803,36.0687587,Design Archives Emporium,Shopping,Design Archives Emporium,Greensboro,342 S Elm St,27401,,
-79.7933122,36.0795576,Deep Roots Market,Grocery,Deep Roots Market,Greensboro,600 N Eugene St,27401,,
-79.7908096,36.0699651,Scuppernong Books,Shopping,Scuppernong Books,Greensboro,304 S Elm St,27401,,
-79.761559,36.087761,YWCA Greensboro,Community organization,YWCA Greensboro,Greensboro,1807 Wendover Ave E,27405,,
-79.8907564,36.0963643,Guilford College,Education,Guilford College,Greensboro,5800 W Friendly Ave,27410,,
-79.78442,36.1010459,Vida pour Tea,Food and drink,Vida pour Tea,Greensboro,412 State St,27405,,
-77.3710735,35.6111139,Sup Dogs,Food and drink,Sup Dogs - Greenville,Greenville,213 E 5th St,27858,https://www.instagram.com/p/BDZQn47mnyp/,instagram
-77.3733952,35.6113845,Starlight Cafe,Food and drink,Starlight Cafe,Greenville,104 W 5th St,27858,,
-77.3587773,35.579782,Unitarian Universalist Congregation,Religious organization,Unitarian Universalist Congregation,Greenville,131 Oakmont Dr,27858,https://www.facebook.com/uugreenvillenc/posts/10153907134535351,facebook
-77.373047,35.611669,The Sojourner Whole Earth Provisions,Shopping,The Sojourner Whole Earth Provisions,Greenville,414 Evans St,27858,,
-77.4099442,35.6042634,Happy Girls Bras & Breastfeeding,Shopping,Happy Girls Bras & Breastfeeding,Greenville,2301 Stantonsburg Rd,27834,,
-77.3725864,35.6117572,Crave Restaurant and Bar,Food and drink,Crave Restaurant and Bar,Greenville,409 Evans St,27858,,
-80.003099,35.944116,Market Video & News,Shopping,Market Video & News,High Point,1100 S Main St,27260,,
-83.233336,35.042897,Lucas Patton Design,Professional service,Lucas Patton Design,Highlands,2252 Dillard Rd,28741,,
-79.113106,36.070763,Mystery Brewing Company,Brewery,Mystery Brewing Company,Hillsborough,437 Dimmocks Mill Rd,27278,https://twitter.com/mysterybrewing/status/712999892092862464,twitter
-79.0997334,36.0735329,Weaver Street Market,Grocery,Weaver Street Market,Hillsborough,228 S Churton St,27278,https://www.facebook.com/weaverstreet/posts/10154721066714418,facebook
-79.1110135,36.072917,Mystery Brewing Public House,Brewery,Mystery Brewing Public House,Hillsborough,230 S Nash St,27278,,
-79.683077,36.062621,"Replacements, Ltd.",Shopping,"Replacements, Ltd.",McLeansville,1089 Knox Rd,27301,,
-80.2804584,35.4848823,Pfeiffer University,Education,Pfeiffer University,Misenheimer,48380 US-52,28109,,
-82.2993062,35.6478067,Montreat Conference Center,Religious organization,Montreat Conference Center,Montreat,401 Assembly Dr,28757,,
-78.823276,35.864173,Pfeiffer University,Education,Pfeiffer University - Morrisville,Morrisville,2880 Slater Rd,27560,,
-77.7463652,35.0551638,Carolina Wild Juice,Grocery,Carolina Wild Juice,Pink Hill,,28572,,
-79.1812174,35.7207635,Angelina's Kitchen,Food and drink,Angelina's Kitchen,Pittsboro,23 Rectory St,27312,,
